target_id,scenario,time_s,x_km,y_km,altitude_km,speed_km_s,direction_deg,priority_weight
T07,medium,5.27,20.7,70.47,22.84,2.051,323.2,3.0
T07,medium,10.55,24.194,66.298,33.46,2.012,323.2,3.0
T07,medium,15.82,28.629,63.386,43.35,2.014,323.2,3.0
T07,medium,21.09,33.901,61.594,50.77,1.951,323.2,3.0
T07,medium,26.36,36.495,56.216,56.7,1.892,323.2,3.0
T07,medium,31.64,39.796,51.787,60.08,1.85,323.2,3.0
T07,medium,36.91,44.846,49.697,62.25,1.798,323.2,3.0
T07,medium,42.18,51.357,49.565,62.4,1.744,323.2,3.0
T07,medium,47.46,53.802,43.988,60.82,1.672,323.2,3.0
T07,medium,52.73,58.598,41.559,56.78,1.596,323.2,3.0
T07,medium,58.0,63.171,38.831,51.42,1.598,323.2,3.0
T07,medium,63.27,68.553,37.188,43.51,1.519,323.2,3.0
T07,medium,68.55,72.196,33.214,33.82,1.519,323.2,3.0
T07,medium,73.82,75.85,29.256,22.26,1.424,323.2,3.0
T07,medium,79.09,80.099,26.095,9.11,1.438,323.2,3.0
T08,medium,0.0,11.278,88.567,10.2,1.76,303.6,2.0
T08,medium,4.35,13.782,84.398,26.02,1.841,303.6,2.0
T08,medium,8.69,17.397,80.967,37.68,1.791,303.6,2.0
T08,medium,13.04,20.155,76.966,48.62,1.755,303.6,2.0
T08,medium,17.38,19.621,70.775,56.9,1.701,303.6,2.0
T08,medium,21.73,22.794,67.051,63.28,1.681,303.6,2.0
T08,medium,26.08,30.523,66.357,68.38,1.624,303.6,2.0
T08,medium,30.42,33.364,62.411,69.71,1.524,303.6,2.0
T08,medium,34.77,32.095,55.732,69.59,1.492,303.6,2.0
T08,medium,39.11,35.079,51.881,68.21,1.37,303.6,2.0
T08,medium,43.46,36.349,46.89,64.77,1.302,303.6,2.0
T08,medium,47.81,39.558,43.189,57.06,1.296,303.6,2.0
T08,medium,52.15,43.91,40.249,48.83,1.214,303.6,2.0
T08,medium,56.5,45.568,35.517,38.74,1.238,303.6,2.0
T08,medium,60.84,49.16,32.071,25.45,1.231,303.6,2.0
T08,medium,65.19,51.645,27.888,9.73,1.202,303.6,2.0
T09,long,0.0,9.826,21.529,9.68,2.687,37.7,3.0
T09,long,5.24,13.541,24.447,25.94,2.674,37.7,3.0
T09,long,10.48,16.724,28.052,42.12,2.643,37.7,3.0
T09,long,15.73,21.364,29.774,54.79,2.612,37.7,3.0
T09,long,20.97,23.643,34.55,67.25,2.62,37.7,3.0
T09,long,26.21,28.195,36.384,76.72,2.592,37.7,3.0
T09,long,31.45,31.497,39.837,86.74,2.632,37.7,3.0
T09,long,36.7,35.489,42.396,93.59,2.575,37.7,3.0
T09,long,41.94,37.927,46.966,99.65,2.558,37.7,3.0
T09,long,47.18,42.135,49.246,103.93,2.433,37.7,3.0
T09,long,52.42,46.07,51.879,105.47,2.435,37.7,3.0
T09,long,57.67,50.179,54.288,107.32,2.436,37.7,3.0
T09,long,62.91,55.696,54.875,106.05,2.369,37.7,3.0
T09,long,68.15,59.128,58.159,102.44,2.257,37.7,3.0
T09,long,73.39,60.91,63.577,99.19,2.311,37.7,3.0
T09,long,78.64,66.025,64.684,94.59,2.216,37.7,3.0
T09,long,83.88,68.532,69.164,85.64,2.196,37.7,3.0
T09,long,89.12,72.387,71.901,78.56,2.193,37.7,3.0
T09,long,94.36,78.317,71.954,67.1,2.09,37.7,3.0
T09,long,99.61,81.623,75.4,55.75,2.136,37.7,3.0
T09,long,104.85,84.189,79.805,42.59,2.123,37.7,3.0
T09,long,110.09,88.094,82.477,25.83,2.064,37.7,3.0
T09,long,115.33,92.04,85.096,10.72,2.038,37.7,3.0
T10,long,0.0,5.296,16.02,10.71,2.933,39.6,4.0
T10,long,5.01,9.213,19.391,21.86,2.927,39.6,4.0
T10,long,10.03,12.706,23.275,32.35,2.899,39.6,4.0
T10,long,15.04,17.578,25.49,43.18,2.956,39.6,4.0
T10,long,20.06,19.852,30.849,50.95,2.896,39.6,4.0
T10,long,25.07,26.421,31.011,58.98,2.929,39.6,4.0
T10,long,30.09,28.418,36.705,65.34,2.838,39.6,4.0
T10,long,35.1,31.394,41.215,70.31,2.778,39.6,4.0
T10,long,40.12,37.781,41.597,73.47,2.748,39.6,4.0
T10,long,45.13,43.498,42.79,77.12,2.751,39.6,4.0
T10,long,50.14,45.912,47.978,78.77,2.741,39.6,4.0
T10,long,55.16,47.82,53.78,79.59,2.631,39.6,4.0
T10,long,60.17,51.084,57.941,78.4,2.593,39.6,4.0
T10,long,65.19,55.069,61.23,77.27,2.592,39.6,4.0
T10,long,70.2,60.631,62.61,74.64,2.508,39.6,4.0
T10,long,75.22,66.144,64.05,69.96,2.456,39.6,4.0
T10,long,80.23,67.576,70.428,64.71,2.462,39.6,4.0
T10,long,85.25,72.025,73.154,59.39,2.42,39.6,4.0
T10,long,90.26,77.048,75.187,52.35,2.418,39.6,4.0
T10,long,95.28,80.299,79.364,43.55,2.409,39.6,4.0
T10,long,100.29,85.4,81.302,33.1,2.325,39.6,4.0
T10,long,105.3,88.819,85.275,22.97,2.357,39.6,4.0
T10,long,110.32,92.913,88.432,9.07,2.399,39.6,4.0
T11,long,0.0,7.461,10.983,9.77,2.107,44.1,2.0
T11,long,4.34,10.946,14.693,22.57,2.128,44.1,2.0
T11,long,8.69,14.934,17.884,34.82,2.088,44.1,2.0
T11,long,13.03,19.347,20.636,46.24,2.071,44.1,2.0
T11,long,17.38,22.033,25.169,54.7,2.082,44.1,2.0
T11,long,21.72,25.969,28.414,63.17,2.105,44.1,2.0
T11,long,26.07,30.402,31.147,68.83,2.012,44.1,2.0
T11,long,30.41,33.105,35.662,74.81,1.974,44.1,2.0
T11,long,34.76,37.535,38.398,79.25,1.915,44.1,2.0
T11,long,39.1,40.52,42.623,81.45,1.883,44.1,2.0
T11,long,43.44,46.471,43.79,81.61,1.915,44.1,2.0
T11,long,47.79,50.332,47.112,81.72,1.782,44.1,2.0
T11,long,52.13,53.37,51.282,81.26,1.758,44.1,2.0
T11,long,56.48,54.547,57.372,78.57,1.776,44.1,2.0
T11,long,60.82,60.944,58.079,75.15,1.713,44.1,2.0
T11,long,65.17,63.673,62.568,69.73,1.699,44.1,2.0
T11,long,69.51,66.785,66.662,63.45,1.626,44.1,2.0
T11,long,73.85,69.179,71.497,55.69,1.589,44.1,2.0
T11,long,78.2,72.397,75.482,45.15,1.611,44.1,2.0
T11,long,82.54,76.638,78.412,34.42,1.556,44.1,2.0
T11,long,86.89,80.604,81.626,22.31,1.507,44.1,2.0
T11,long,91.23,84.102,85.322,9.04,1.518,44.1,2.0
T12,long,0.0,12.386,14.757,9.35,2.244,41.9,4.0
T12,long,5.56,15.996,18.821,21.37,2.192,41.9,4.0
T12,long,11.12,19.613,22.877,33.58,2.192,41.9,4.0
T12,long,16.69,23.485,26.649,43.93,2.215,41.9,4.0
T12,long,22.25,28.086,29.608,51.17,2.141,41.9,4.0
T12,long,27.81,32.132,33.185,58.37,2.172,41.9,4.0
T12,long,33.37,35.057,38.013,63.67,2.13,41.9,4.0
T12,long,38.93,41.81,38.573,69.94,2.055,41.9,4.0
T12,long,44.5,43.989,44.232,72.55,2.026,41.9,4.0
T12,long,50.06,47.635,48.256,74.84,1.997,41.9,4.0
T12,long,55.62,51.213,52.356,76.01,1.936,41.9,4.0
T12,long,61.18,56.537,54.509,73.42,1.926,41.9,4.0
T12,long,66.75,60.532,58.143,72.26,1.81,41.9,4.0
T12,long,72.31,62.801,63.703,68.98,1.826,41.9,4.0
T12,long,77.87,70.191,63.551,65.56,1.735,41.9,4.0
T12,long,83.43,73.832,67.581,59.5,1.773,41.9,4.0
T12,long,88.99,77.621,71.445,51.57,1.724,41.9,4.0
T12,long,94.56,79.821,77.082,42.93,1.678,41.9,4.0
T12,long,100.12,84.36,80.11,33.88,1.687,41.9,4.0
T12,long,105.68,88.721,83.336,21.57,1.688,41.9,4.0
T12,long,111.24,92.8,86.877,10.6,1.604,41.9,4.0
